old_url,new_slug,hero_image,published_at,author
https://heartland.io/sustainability-news/heartland-has-been-awarded-a-360000-usda-grant-to-study-soil-health/,heartland-has-been-awarded-a-360000-usda-grant-to-study-soil-health,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-hemp-additives-turn-any-plastic-into-a-bioplastic-while-reducing-cost/,heartland-hemp-additives-turn-any-plastic-into-a-bioplastic-while-reducing-cost,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-increases-hemp-production-in-michigan-and-beyond/,heartland-increases-hemp-production-in-michigan-and-beyond,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-india-offering-us-hemp-fiber-for-spinning-hemp-yarn-hemp-fabric/,heartland-india-offering-us-hemp-fiber-for-spinning-hemp-yarn-hemp-fabric,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-industries-cracks-the-industrial-hemp-supply-chain-bottleneck/,heartland-industries-cracks-the-industrial-hemp-supply-chain-bottleneck,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-joins-amazon-devices-climate-tech-accelerator/,heartland-joins-amazon-devices-climate-tech-accelerator,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-joins-forces-with-the-hemp-fiber-and-grain-association/,heartland-joins-forces-with-the-hemp-fiber-and-grain-association,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-partners-with-aureo-to-derive-new-insights-from-supply-chain-data-lake/,heartland-partners-with-aureo-to-derive-new-insights-from-supply-chain-data-lake,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-partners-with-magnolia-partners-to-distribute-decarbonized-returnable-packaging/,heartland-partners-with-magnolia-partners-to-distribute-decarbonized-returnable-packaging,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-presents-hemp4soil-usda-grant-results-at-soil-water-conservation-society/,heartland-presents-hemp4soil-usda-grant-results-at-soil-water-conservation-society,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-presents-the-green-packaging-initiative-at-spe/,heartland-presents-the-green-packaging-initiative-at-spe,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-presents-the-results-of-our-magna-basf-trials-greentown/,heartland-presents-the-results-of-our-magna-basf-trials-greentown,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-puts-industrial-hemp-headquarters-in-detroit/,heartland-puts-industrial-hemp-headquarters-in-detroit,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-raises-seed-capital/,heartland-raises-seed-capital,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-receives-financing-from-leading-michigan-bank/,heartland-receives-financing-from-leading-michigan-bank,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-solves-traveling-salesman-problem-to-optimize-agriculture/,heartland-solves-traveling-salesman-problem-to-optimize-agriculture,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-unlocks-farming-for-industrial-hemp/,heartland-unlocks-farming-for-industrial-hemp,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-uses-hemp-as-alternative-to-fiberglass-in-plastic/,heartland-uses-hemp-as-alternative-to-fiberglass-in-plastic,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartland-wins-continentals-sustainable-material-innovation-challenge/,heartland-wins-continentals-sustainable-material-innovation-challenge,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/heartlands-imperium-fiber-setting-new-standard-for-soft-hemp-fiber/,heartlands-imperium-fiber-setting-new-standard-for-soft-hemp-fiber,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/hemp-amplifies-the-output-of-plastic-recycling-supply-chains/,hemp-amplifies-the-output-of-plastic-recycling-supply-chains,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/hemp-based-materials-engineered-as-additives-for-polymers/,hemp-based-materials-engineered-as-additives-for-polymers,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/hemp-fiber-and-grain-association-joins-forces-with-heartland-for-farmer-education/,hemp-fiber-and-grain-association-joins-forces-with-heartland-for-farmer-education,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/hemp-fiber-requires-less-water-than-cotton-to-farm/,hemp-fiber-requires-less-water-than-cotton-to-farm,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/hemp-reinforced-polypropylene-composites-in-automotive/,hemp-reinforced-polypropylene-composites-in-automotive,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/how-heartland-uses-carbon-report-to-simplify-emissions-tracking-tds-sds-carbon-report/,how-heartland-uses-carbon-report-to-simplify-emissions-tracking-tds-sds-carbon-report,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/how-or-why-your-brand-equity-is-tied-to-your-sustainability/,how-or-why-your-brand-equity-is-tied-to-your-sustainability,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/how-sustainability-can-build-more-brand-value/,how-sustainability-can-build-more-brand-value,hero.svg,2024-06-01,"Heartland Industries"
https://heartland.io/sustainability-news/hurd-milled-not-good-for-plastic-compounders/,hurd-milled-not-good-for-plastic-compounders,hero.svg,2024-06-01,"Heartland Industries"
